date,open,high,low,close,volume
2024/4/19,3550.609,3560.949,3529.324,3541.662,1472815.05
2024/4/22,3536.184,3558.164,3528.019,3530.905,1505790.42
2024/4/23,3525.668,3533.758,3499.984,3506.225,1431135.04
2024/4/24,3514.011,3524.537,3495.649,3521.622,1217398.51
2024/4/25,3510.64,3543.97,3505.2,3530.281,1151877.22
2024/4/26,3531.965,3588.4,3531.965,3584.269,1972161.33
2024/4/29,3584.543,3645.823,3578.76,3623.912,2227213.81
2024/4/30,3619.259,3630.709,3604.394,3604.394,1912968.99
2024/5/6,3654.049,3668.257,3645.738,3657.877,2080180.07
2024/5/7,3657.001,3665.684,3648.376,3659.008,1648342.86
2024/5/8,3650.748,3650.936,3628.698,3630.223,1300353.36
2024/5/9,3630.414,3669.759,3630.414,3664.561,1465590.17
2024/5/10,3669.087,3674.609,3641.764,3666.277,1507205.36
2024/5/13,3646.349,3673.621,3634.605,3664.691,1572674.55
2024/5/14,3668.225,3675.776,3646.709,3657.045,1334064.9
2024/5/15,3651.054,3656.528,3624.002,3626.056,1235227.64
2024/5/16,3636.601,3657.483,3626.334,3640.359,1546305.03
2024/5/17,3638.561,3677.97,3627.447,3677.97,1645704.17
2024/5/20,3682.062,3703.029,3677.443,3690.962,1846094.23
2024/5/21,3682.287,3684.611,3665.152,3676.161,1306782.83
2024/5/22,3675.647,3691.88,3667.089,3684.451,1519146.05
2024/5/23,3672.84,3674.365,3633.505,3641.792,1425729.9
2024/5/24,3630.827,3650.873,3599.668,3601.475,1247911.77
2024/5/27,3606.645,3638.151,3603.713,3635.708,1312726.44
2024/5/28,3633.254,3638.97,3605.921,3609.172,1235322.38
2024/5/29,3609.071,3633.197,3602.82,3613.522,1159063.21
2024/5/30,3607.052,3624.035,3586.754,3594.312,1226029.95
2024/5/31,3599.82,3614.644,3579.925,3579.925,1124620.19
2024/6/3,3577.38,3600.604,3567.871,3588.748,1410545.91
2024/6/4,3583.81,3622.501,3580.277,3615.671,1245450.96
2024/6/5,3610.36,3623.323,3594.106,3594.794,1109067.66
2024/6/6,3602.155,3625.011,3584.171,3592.245,1378935.17
2024/6/7,3594.634,3603.07,3552.085,3574.114,1311030.26
2024/6/11,3555.819,3565.311,3525.895,3542.877,1345223.06
2024/6/12,3539.095,3551.171,3531.566,3544.123,1228137.29
2024/6/13,3548.216,3551.077,3520.18,3526.131,1232454.62
2024/6/14,3514.8,3547.147,3503.523,3541.533,1715169.42
2024/6/17,3521.437,3540.793,3520.738,3536.199,1374334.38
2024/6/18,3533.488,3551.709,3532.785,3545.59,1236718.38
2024/6/19,3543.36,3543.36,3524.845,3528.749,1066427.97
2024/6/20,3525.169,3533.987,3500.131,3503.282,1116173.96
2024/6/21,3496.343,3505.512,3473.828,3495.62,1091866.15
2024/6/24,3473.639,3505.775,3471.216,3476.81,1179901.84
2024/6/25,3475.165,3483.219,3440.646,3457.902,1184481.18
2024/6/26,3451.539,3487.396,3442.298,3480.265,1058988.61
2024/6/27,3467.289,3471.142,3452.578,3454.118,1149181.01
2024/6/28,3443.674,3484.678,3443.674,3461.657,1354091.53
2024/7/1,3458.264,3479.955,3443.809,3478.183,1218297.7
2024/7/2,3472.453,3488.319,3464.524,3471.786,1216501.21
2024/7/3,3471.556,3478.705,3454.994,3463.414,1038571.08
2024/7/4,3468.296,3483.31,3444.928,3445.813,1044299.09
2024/7/5,3443.359,3451.039,3399.669,3431.061,1166096.59
2024/7/8,3420.803,3428.042,3395.912,3401.76,1155282.18
2024/7/9,3396.804,3448.928,3384.809,3439.811,1316294.43
2024/7/10,3425.882,3447.505,3423.648,3428.966,1272034.56
2024/7/11,3451.044,3473.984,3438.118,3468.169,1458924.66
2024/7/12,3459.956,3479.096,3457.363,3472.401,1308745.89
2024/7/15,3462.611,3481.461,3460.792,3476.247,1185170.83
2024/7/16,3466.852,3500.294,3464.366,3498.283,1206590.17
2024/7/17,3494.209,3514.475,3486.223,3501.584,1318020.62
2024/7/18,3483.298,3522.8,3475.724,3520.931,1237681.99
2024/7/19,3500.805,3545.338,3493.073,3539.016,1324479.75
2024/7/22,3538.401,3540.187,3494.014,3514.925,1321263.37
2024/7/23,3509.789,3509.789,3439.878,3439.878,1288976.6
2024/7/24,3432.346,3451.42,3408.413,3418.166,1270362.63
2024/7/25,3404.611,3415.856,3383.799,3399.272,1310222.42
2024/7/26,3403.708,3420.82,3388.66,3409.293,1241955.58
2024/7/29,3404.366,3408.502,3388.844,3390.742,1097877.86
2024/7/30,3380.689,3380.689,3352.804,3369.382,1049521.64
2024/7/31,3364.027,3445.004,3364.027,3442.084,1719591.77
2024/8/1,3443.14,3448.336,3419.187,3419.267,1363234.64
2024/8/2,3393.917,3419.102,3380.965,3384.392,1166152.55
2024/8/5,3362.112,3409.031,3343.321,3343.321,1428125.16
2024/8/6,3367.352,3376.796,3318.625,3342.979,1193402.79
2024/8/7,3338.591,3362.384,3329.966,3341.489,950843.77
2024/8/8,3332.428,3364.786,3320.843,3342.937,924956.95
2024/8/9,3358.128,3366.669,3331.627,3331.627,915116.26
2024/8/12,3327.556,3338.077,3319.891,3325.865,799387.54
2024/8/13,3328.014,3335.014,3310.191,3334.39,844896.79
2024/8/14,3332.787,3332.787,3309.1,3309.239,787424.07
2024/8/15,3301.446,3356.764,3297.971,3341.953,1047663.99
2024/8/16,3342.035,3356.907,3335.624,3345.634,965190.83
2024/8/19,3344.261,3375.962,3343.712,3356.968,1055711.1
2024/8/20,3361.639,3362.334,3321.64,3332.703,1016683.31
2024/8/21,3322.913,3339.443,3307.992,3321.635,899547.51
2024/8/22,3322.872,3327.696,3305.245,3313.136,1003665.04
2024/8/23,3305.931,3336.241,3305.64,3327.191,895257.74
2024/8/26,3330.718,3336.527,3311.57,3324.223,939907.72
2024/8/27,3315.686,3320.567,3299.564,3305.334,958081.57
2024/8/28,3298.909,3305.35,3274.588,3286.496,926966.5
2024/8/29,3273.541,3290.786,3269.529,3277.681,1307023.33
2024/8/30,3273.753,3351.625,3273.65,3321.432,1886954.43
2024/9/2,3307.543,3307.763,3264.757,3265.011,1476123.53
2024/9/3,3261.741,3281.594,3261.188,3273.428,1228973.06
2024/9/4,3253.898,3272.986,3249.981,3252.165,1048324.82
2024/9/5,3252.96,3266.882,3247.173,3257.758,971094.5
